,cam,ImagePath,badImage,motion,grayscale
242,15,2017_SBU4_05270254,False,True,False
243,15,2017_SBU4_05280396,False,True,False
244,15,2017_SBU4_06210615,False,True,False
245,15,2017_SBU4_04210785,False,False,False
246,15,2017_SBU4_06090866,False,False,False
247,15,2017_SBU4_02110524,False,False,True
248,15,2017_SBU4_04080432,False,False,False
249,15,2017_SBU4_07080210,False,False,False
250,15,2017_SBU4_02190321,False,False,False
251,15,2017_SBU4_05050302,False,True,False
252,15,2017_SBU4_02020566,False,False,True
253,15,2017_SBU4_04160283,False,False,True
254,15,2017_SBU4_02080158,False,False,True
255,15,2017_SBU4_02230749,False,False,False
256,15,2017_SBU4_05060400,False,False,False
257,15,2017_SBU4_06040210,False,False,True
258,15,2017_SBU4_06080666,False,False,False
259,15,2017_SBU4_05010908,False,False,True
260,15,2017_SBU4_05160607,False,False,True
261,15,2017_SBU4_02130729,False,False,True
262,15,2017_SBU4_04010672,False,True,False
263,15,2017_SBU4_06130380,False,False,False
264,15,2017_SBU4_06170887,False,False,False
265,15,2017_SBU4_05040157,False,False,False
266,15,2017_SBU4_05300904,False,True,False
267,15,2017_SBU4_03240763,False,False,True
268,15,2017_SBU4_02190318,False,False,False
269,15,2017_SBU4_02020589,False,False,False
270,15,2017_SBU4_06300354,False,False,False
271,15,2017_SBU4_07040754,False,False,False
272,15,2017_SBU4_02150908,False,False,False
273,15,2017_SBU4_06070477,False,True,False
274,15,2017_SBU4_05170671,False,False,False
275,15,2017_SBU4_02090297,False,False,False
276,15,2017_SBU4_04280477,False,False,True
277,15,2017_SBU4_05150498,False,False,True
278,15,2017_SBU4_02200417,False,False,False
279,15,2017_SBU4_04070267,False,False,True
280,15,2017_SBU4_06220779,False,True,False
281,15,2017_SBU4_03040737,False,False,False
282,15,2017_SBU4_06050234,False,False,True
283,15,2017_SBU4_03220584,False,False,False
284,15,2017_SBU4_05080654,False,False,False
285,15,2017_SBU4_04010693,False,True,False
286,15,2017_SBU4_05020983,False,False,False
287,15,2017_SBU4_05090734,False,False,False
288,15,2017_SBU4_05020933,False,False,True
289,15,2017_SBU4_07130765,False,False,False
290,15,2017_SBU4_04090488,False,False,False
291,15,2017_SBU4_02120548,False,False,True
292,15,2017_SBU4_05090719,False,False,True
293,15,2017_SBU4_03300407,False,False,True
294,15,2017_SBU4_05100866,False,True,False
295,15,2017_SBU4_04250190,False,False,False
296,15,2017_SBU4_05300852,False,False,False
297,15,2017_SBU4_06300342,False,False,False
298,15,2017_SBU4_06260274,False,False,True
299,15,2017_SBU4_05150438,False,False,False
300,15,2017_SBU4_03180154,False,False,True
301,15,2017_SBU4_06080726,False,True,False
302,15,2017_SBU4_05250757,False,False,True
303,15,2017_SBU4_07050878,False,False,False
304,15,2017_SBU4_01290197,False,False,False
305,15,2017_SBU4_07150245,False,False,False
306,15,2017_SBU4_07170443,False,False,False
307,15,2017_SBU4_01310433,False,False,True
308,15,2017_SBU4_02270174,False,True,False
309,15,2017_SBU4_05160555,False,False,False
310,15,2017_SBU4_04090485,False,False,False
311,15,2017_SBU4_06140536,False,False,True
312,15,2017_SBU4_05170629,False,False,True
313,15,2017_SBU4_06190304,False,False,False
314,15,2017_SBU4_04120850,False,False,False
315,15,2017_SBU4_04060249,False,False,True
316,15,2017_SBU4_05070552,False,False,False
317,15,2017_SBU4_05160522,False,False,True
318,15,2017_SBU4_05300890,False,True,False
319,15,2017_SBU4_03260015,False,False,False
320,15,2017_SBU4_02240868,False,False,True
321,15,2017_SBU4_07110605,False,False,False
322,15,2017_SBU4_04020772,False,True,False
323,15,2017_SBU4_06280173,False,False,True
324,15,2017_SBU4_02200424,False,False,False
325,15,2017_SBU4_02150935,False,False,True
326,15,2017_SBU4_07130021,False,False,False
327,15,2017_SBU4_02280277,False,False,False
328,15,2017_SBU4_05230477,False,False,False
329,15,2017_SBU4_05290601,False,False,True
330,15,2017_SBU4_05270209,False,False,False
331,15,2017_SBU4_07030712,False,False,True
332,15,2017_SBU4_06210532,False,False,False
333,15,2017_SBU4_05010857,False,False,False
334,15,2017_SBU4_07070161,False,False,False
335,15,2017_SBU4_05240688,False,True,False
336,15,2017_SBU4_03100403,False,False,True
337,15,2017_SBU4_05010846,False,False,False
338,15,2017_SBU4_04230039,False,False,True
339,15,2017_SBU4_04090473,False,False,True
340,15,2017_SBU4_06060376,False,True,False
341,15,2017_SBU4_02160960,False,False,True
342,15,2017_SBU4_03050855,False,False,False
343,15,2017_SBU4_03220635,False,True,True
344,15,2017_SBU4_05210183,False,False,False
